,EPI11,ERE,HAQ,PMD,PMX,NXA,USD,UWD,WWT,SNM,NBA,TCL,FSS,TBN,TBG,MPA,SPI,BHV,TCI,TCE
51,9.0,10.0,10.0,10.0,10.0,7.0,10.0,10.0,10.0,8.0,10.0,3.0,4.0,9.0,8.0,10.0,8.0,9.0,7.0,7.0
52,8.0,9.0,10.0,10.0,8.0,6.0,9.0,9.0,8.0,10.0,10.0,2.0,5.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0
53,3.0,1.0,1.0,10.0,10.0,9.0,4.0,6.0,0.0,10.0,10.0,5.363636363636363,5.454545454545454,9.0,9.0,6.363636363636363,8.0,9.0,4.636363636363637,10.0
54,8.0,7.0,9.0,10.0,7.0,6.0,8.0,9.0,8.0,7.0,10.0,5.0,6.0,8.0,8.0,9.0,7.0,7.0,6.0,8.0
55,7.0,5.0,10.0,6.0,4.0,2.0,10.0,10.0,9.0,7.636363636363637,6.0,6.454545454545454,3.0,6.0,5.0,6.0,6.0,7.0,10.0,7.0
56,6.0,7.0,6.0,10.0,10.0,10.0,9.0,10.0,5.0,6.0,10.0,5.909090909090909,7.0,6.0,6.0,6.0,6.0,6.0,6.454545454545454,10.0
57,4.0,2.0,1.0,10.0,10.0,10.0,3.0,4.0,0.0,10.0,10.0,3.0,9.0,7.0,9.0,7.0,7.0,7.0,4.454545454545454,10.0
58,9.0,10.0,10.0,10.0,10.0,5.0,10.0,10.0,10.0,10.0,10.0,2.0,5.0,8.0,8.0,10.0,9.0,10.0,10.0,9.0
59,7.0,8.0,10.0,10.0,8.0,8.0,10.0,10.0,7.0,3.0,0.0,8.0,2.0,10.0,10.0,0.0,9.0,10.0,8.0,10.0
60,6.0,4.0,4.0,10.0,10.0,9.0,5.0,4.0,5.0,10.0,10.0,3.0,5.0,9.0,8.0,8.0,8.0,9.0,4.0,10.0
61,8.0,9.0,9.0,10.0,10.0,8.0,8.0,8.0,6.0,6.0,10.0,6.0,2.0,9.0,9.0,8.0,9.0,10.0,10.0,10.0
62,6.0,5.0,6.0,10.0,10.0,6.0,6.0,5.0,6.0,10.0,10.0,0.0,4.7272727272727275,6.0,5.0,7.636363636363637,5.0,5.0,8.0,6.0
63,4.0,5.0,2.0,5.0,4.0,9.0,8.0,6.0,0.0,9.0,10.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,10.0,10.0
64,4.0,4.0,6.0,10.0,10.0,9.0,5.0,6.0,3.0,9.0,10.0,7.0,5.909090909090909,2.0,1.0,4.636363636363637,4.0,3.0,6.2727272727272725,10.0
65,2.0,3.0,1.0,10.0,10.0,10.0,4.0,0.0,0.0,9.545454545454545,9.090909090909092,6.2727272727272725,4.0,3.0,3.0,0.0,3.0,2.0,6.0,10.0
66,5.0,6.0,6.0,10.0,10.0,9.0,6.0,4.0,5.0,3.0,0.0,2.0,4.181818181818182,8.0,8.0,7.545454545454546,8.0,9.0,8.0,8.0
67,3.0,1.0,1.0,10.0,10.0,9.0,2.0,1.0,0.0,10.0,10.0,5.0,6.181818181818182,8.0,8.0,6.909090909090909,8.0,8.0,4.181818181818182,10.0
68,9.0,10.0,10.0,10.0,10.0,6.0,10.0,10.0,9.0,10.0,10.0,0.0,5.0,10.0,10.0,8.0,10.0,10.0,9.0,10.0
69,4.0,5.0,5.0,10.0,10.0,10.0,5.0,9.0,2.0,7.0,10.0,6.181818181818182,7.0,0.0,0.0,1.0,0.0,0.0,5.636363636363637,10.0
70,7.0,9.0,9.0,9.0,8.0,8.0,8.0,7.0,7.0,10.0,10.0,10.0,4.7272727272727275,7.0,7.0,6.363636363636363,8.0,8.0,10.0,9.0
71,4.0,6.0,8.0,10.0,10.0,10.0,7.0,8.0,2.0,3.0,10.0,6.0,6.0,5.0,5.0,0.0,4.0,5.0,5.454545454545454,10.0
72,5.0,7.0,7.0,10.0,10.0,10.0,6.0,4.0,3.0,7.909090909090909,9.090909090909092,3.727272727272727,3.0,10.0,10.0,10.0,5.0,9.0,5.454545454545454,10.0
73,7.0,7.0,10.0,3.0,2.0,0.0,10.0,8.0,9.0,8.0,0.0,7.0,6.0,7.0,7.0,8.0,7.0,7.0,7.0,5.0
74,4.0,2.0,1.0,10.0,10.0,9.0,6.0,7.0,0.0,10.0,10.0,4.0,5.2727272727272725,10.0,10.0,5.818181818181818,9.0,9.0,4.909090909090909,10.0
75,6.0,7.0,9.0,10.0,10.0,8.0,7.0,8.0,4.0,5.0,1.0,5.0,1.0,8.0,7.0,8.0,7.0,8.0,7.0,10.0
76,6.0,7.0,8.0,10.0,9.0,9.0,9.0,7.0,6.0,10.0,10.0,5.090909090909091,4.2727272727272725,8.0,8.0,6.2727272727272725,7.0,8.0,3.0,10.0
77,8.0,8.0,10.0,6.0,5.0,0.0,10.0,10.0,9.0,9.0,0.0,3.0,5.0,10.0,10.0,10.0,10.0,10.0,8.0,9.0
78,8.0,8.0,10.0,6.0,4.0,3.0,10.0,10.0,9.0,10.0,10.0,4.0,4.0,10.0,10.0,9.090909090909092,10.0,10.0,9.0,8.0
79,6.0,10.0,10.0,9.0,7.0,8.0,5.0,10.0,4.0,0.0,0.0,5.909090909090909,6.0,10.0,10.0,4.0,10.0,10.0,2.0,10.0
80,3.0,0.0,1.0,10.0,10.0,9.0,1.0,3.0,0.0,10.0,10.0,4.636363636363637,5.909090909090909,10.0,10.0,6.2727272727272725,8.0,8.0,4.0,10.0
81,3.0,4.0,3.0,10.0,10.0,9.0,5.0,3.0,0.0,10.0,10.0,6.0,5.0,2.0,2.0,0.0,4.0,4.0,5.0,10.0
82,6.0,6.0,8.0,10.0,10.0,9.0,7.0,9.0,4.0,6.0,10.0,4.818181818181818,3.5454545454545454,10.0,10.0,7.2727272727272725,8.0,9.0,7.0,10.0
83,4.0,3.0,1.0,10.0,10.0,9.0,4.0,6.0,0.0,9.0,10.0,4.0,8.0,9.0,10.0,10.0,7.0,8.0,4.818181818181818,10.0
84,6.0,4.0,4.0,10.0,9.0,9.0,3.0,7.0,4.0,10.0,10.0,3.0,5.0,9.0,9.0,6.0,8.0,9.0,5.0,10.0
85,8.0,8.0,9.0,7.0,5.0,4.0,10.0,10.0,8.0,10.0,10.0,4.0,4.454545454545454,10.0,10.0,9.545454545454545,10.0,10.0,9.0,9.0
86,5.0,8.0,7.0,10.0,10.0,10.0,8.0,10.0,3.0,5.0,1.0,5.909090909090909,6.0,9.0,9.0,9.0,7.0,6.0,7.636363636363637,10.0
87,7.0,7.0,10.0,9.0,8.0,5.0,9.0,10.0,8.0,8.0,10.0,7.0,6.0,2.0,2.0,6.0,1.0,1.0,5.0,5.0
88,8.0,8.0,9.0,8.0,7.0,7.0,7.0,10.0,7.0,10.0,10.0,7.0,3.0,10.0,9.0,10.0,10.0,9.0,10.0,9.0
89,7.0,7.0,10.0,10.0,10.0,8.0,7.0,6.0,6.0,10.0,10.0,5.636363636363637,7.0,10.0,10.0,6.0,10.0,9.0,6.0,8.0
90,7.0,9.0,9.0,10.0,10.0,9.0,7.0,8.0,7.0,5.0,2.0,5.0,4.0,9.0,9.0,8.0,9.0,9.0,7.0,10.0
91,3.0,6.0,9.0,10.0,10.0,10.0,6.0,7.0,0.0,7.454545454545454,7.2727272727272725,6.7272727272727275,5.0,4.0,4.0,6.0,3.0,3.0,6.2727272727272725,10.0
92,3.0,3.0,1.0,10.0,10.0,10.0,3.0,5.0,0.0,8.0,10.0,3.0,8.0,4.0,6.0,6.0,4.0,4.0,6.2727272727272725,10.0
93,8.0,9.0,10.0,10.0,8.0,2.0,9.0,10.0,10.0,7.0,0.0,4.909090909090909,4.2727272727272725,10.0,10.0,8.818181818181818,10.0,10.0,8.0,10.0
94,6.0,6.0,6.0,10.0,10.0,9.0,7.0,8.0,5.0,6.0,10.0,1.0,3.0,9.0,7.0,8.0,8.0,8.0,9.0,10.0
95,7.0,5.0,4.0,10.0,10.0,9.0,6.0,4.0,6.0,9.0,10.0,6.0,4.7272727272727275,10.0,10.0,7.818181818181818,9.0,10.0,9.0,10.0
96,3.0,4.0,6.0,10.0,10.0,9.0,5.0,4.0,0.0,8.0,10.0,6.0,5.0,4.0,4.0,4.0,5.0,4.0,2.0,10.0
97,7.0,8.0,9.0,10.0,10.0,10.0,8.0,10.0,5.0,7.0,10.0,3.0,3.0,10.0,10.0,10.0,10.0,10.0,6.909090909090909,10.0
98,9.0,9.0,10.0,10.0,8.0,3.0,10.0,10.0,9.0,10.0,10.0,6.0,6.0,10.0,10.0,10.0,10.0,10.0,8.0,7.0
99,8.0,9.0,10.0,10.0,10.0,5.0,10.0,10.0,9.0,9.0,10.0,4.0,4.0,7.0,8.0,8.0,7.0,7.0,7.0,9.0
100,5.0,7.0,7.0,4.0,4.0,8.0,7.0,9.0,2.0,8.0,10.0,2.0,4.0,8.0,8.0,9.0,8.0,8.0,3.0,7.0
101,7.0,6.0,10.0,8.0,6.0,6.0,8.0,10.0,9.0,7.0,10.0,6.0,3.0,5.0,5.0,2.0,4.0,6.0,9.0,5.0
102,8.0,7.0,9.0,10.0,10.0,10.0,8.0,6.0,8.0,5.0,1.0,3.0,8.0,9.0,10.0,10.0,9.0,9.0,9.0,8.454545454545455
103,9.0,9.0,10.0,10.0,9.0,6.0,8.0,10.0,10.0,8.0,10.0,1.0,4.0,10.0,10.0,10.0,9.0,10.0,8.0,10.0
104,8.0,9.0,10.0,8.0,6.0,8.0,8.0,10.0,7.0,10.0,10.0,10.0,4.363636363636363,10.0,10.0,6.0,8.0,7.0,7.0,10.0
105,5.0,5.0,5.0,10.0,10.0,9.0,3.0,5.0,2.0,10.0,10.0,8.0,6.0,10.0,10.0,9.0,8.0,9.0,3.0,10.0
106,7.0,7.0,10.0,5.0,4.0,7.0,9.0,10.0,8.0,7.0,0.0,6.0,3.0,8.0,7.0,9.0,6.0,6.0,5.0,6.0
107,8.0,10.0,9.0,10.0,10.0,5.0,10.0,10.0,9.0,5.0,0.0,4.0,4.0,7.0,7.0,10.0,7.0,7.0,5.0,3.0
108,4.0,4.0,1.0,10.0,10.0,9.0,6.0,7.0,3.0,10.0,10.0,5.545454545454546,6.0,6.0,6.0,0.0,5.0,5.0,5.181818181818182,10.0
109,7.0,6.0,10.0,10.0,8.0,6.0,8.0,9.0,6.0,9.0,10.0,3.8181818181818183,3.0,6.0,6.0,8.0,6.0,6.0,6.0,6.0
110,4.0,2.0,1.0,10.0,9.0,10.0,4.0,4.0,0.0,7.0,10.0,9.0,5.818181818181818,10.0,10.0,6.636363636363637,8.0,8.0,4.2727272727272725,10.0
111,5.0,6.0,5.0,9.0,7.0,9.0,9.0,9.0,0.0,7.0,10.0,7.0,4.0,9.0,10.0,5.0,9.0,8.0,9.0,8.0
112,8.0,9.0,10.0,10.0,8.0,4.0,7.0,9.0,9.0,10.0,10.0,5.0,6.0,7.0,7.0,9.0,7.0,7.0,9.0,7.0
113,7.0,6.0,7.0,10.0,10.0,9.0,5.0,7.0,6.0,7.0,10.0,3.5454545454545454,4.0,10.0,10.0,9.0,9.0,10.0,6.0,10.0
114,9.0,10.0,10.0,10.0,10.0,5.0,9.0,10.0,9.0,10.0,10.0,2.0,6.0,10.0,10.0,10.0,10.0,10.0,7.0,8.0
115,6.0,8.0,9.0,10.0,10.0,10.0,8.0,9.0,4.0,8.0,10.0,10.0,4.0,7.0,7.0,0.0,6.0,6.0,7.0,10.0
116,7.0,8.0,8.0,10.0,7.0,7.0,9.0,8.0,6.0,6.0,0.0,5.0,6.0,5.0,5.0,8.0,4.0,5.0,9.0,10.0
117,8.0,8.0,10.0,10.0,10.0,4.0,10.0,10.0,10.0,9.090909090909092,9.272727272727273,3.909090909090909,6.0,6.0,6.0,8.0,7.0,9.0,10.0,9.0
118,6.0,6.0,10.0,4.0,3.0,4.0,10.0,10.0,8.0,7.454545454545454,4.181818181818182,5.181818181818182,5.0,10.0,10.0,6.0,8.0,9.0,3.0,6.0
119,8.0,9.0,9.0,8.0,6.0,6.0,9.0,10.0,8.0,9.0,10.0,8.0,7.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0
120,5.0,8.0,10.0,10.0,10.0,10.0,8.0,9.0,1.0,1.0,0.0,6.818181818181818,5.0,10.0,9.0,6.0,6.0,7.0,5.7272727272727275,10.0
121,7.0,9.0,10.0,9.0,7.0,6.0,9.0,10.0,7.0,10.0,10.0,5.0,4.636363636363637,7.0,7.0,7.545454545454546,7.0,7.0,10.0,9.0
122,7.0,7.0,9.0,10.0,10.0,7.0,7.0,8.0,8.0,9.0,10.0,0.0,6.0,6.0,7.0,10.0,7.0,7.0,6.0,5.0
123,6.0,7.0,10.0,10.0,8.0,9.0,9.0,5.0,7.0,6.0,10.0,6.636363636363637,5.0,1.0,3.0,3.0,3.0,2.0,5.0,10.0
124,8.0,9.0,10.0,10.0,10.0,8.0,8.0,9.0,8.0,8.0,4.0,4.0,7.0,10.0,10.0,10.0,8.0,9.0,6.0,7.0
125,4.0,9.0,6.0,9.0,7.0,7.0,9.0,10.0,0.0,9.0,10.0,9.0,5.363636363636363,4.0,5.0,5.181818181818182,3.0,3.0,6.181818181818182,10.0
126,4.0,8.0,10.0,10.0,10.0,10.0,9.0,10.0,0.0,6.090909090909091,6.363636363636363,7.7272727272727275,7.0,3.0,3.0,5.0,2.0,5.0,5.2727272727272725,10.0
127,4.0,6.0,6.0,1.0,1.0,8.0,7.0,7.0,2.0,5.0,0.0,5.7272727272727275,4.0,8.0,7.0,8.0,6.0,6.0,6.0,5.0
128,6.0,5.0,6.0,10.0,10.0,9.0,6.0,6.0,3.0,9.0,10.0,4.2727272727272725,6.0,10.0,10.0,8.0,9.0,10.0,6.0,10.0
129,9.0,10.0,10.0,10.0,9.0,3.0,10.0,10.0,10.0,10.0,10.0,3.0,2.0,9.0,9.0,10.0,10.0,10.0,9.0,9.0
130,7.0,9.0,10.0,10.0,10.0,8.0,9.0,9.0,6.0,5.0,0.0,6.0,5.0,9.0,9.0,8.0,10.0,10.0,8.0,10.0
131,3.0,2.0,1.0,7.0,5.0,9.0,5.0,2.0,0.0,10.0,10.0,6.0,5.7272727272727275,8.0,8.0,6.545454545454546,7.0,7.0,1.0,10.0
132,5.0,5.0,4.0,10.0,10.0,10.0,6.0,8.0,3.0,8.545454545454545,10.0,10.0,4.0,6.0,6.0,3.0,6.0,5.0,5.909090909090909,10.0
133,7.0,7.0,7.0,0.0,0.0,2.0,7.0,9.0,8.0,6.0,0.0,6.0,6.0,8.0,9.0,8.0,7.0,7.0,8.0,9.0
134,9.0,8.0,10.0,10.0,8.0,7.0,10.0,10.0,9.0,10.0,10.0,6.0,4.0,10.0,10.0,7.0,10.0,10.0,7.0,8.0
135,8.0,9.0,10.0,10.0,9.0,4.0,10.0,10.0,8.0,10.0,10.0,2.0,4.0,7.0,8.0,10.0,7.0,7.0,8.0,8.0
136,6.0,9.0,10.0,10.0,10.0,10.0,8.0,8.0,5.0,5.0,10.0,5.181818181818182,3.0,9.0,9.0,4.0,9.0,10.0,6.636363636363637,10.0
137,8.0,9.0,9.0,10.0,10.0,9.0,9.0,8.0,7.0,6.0,10.0,6.0,3.0,7.0,8.0,9.0,8.0,8.0,9.0,4.0
138,8.0,6.0,10.0,10.0,7.0,9.0,10.0,9.0,9.0,5.0,0.0,4.909090909090909,3.0,10.0,10.0,8.0,6.0,6.0,5.0,7.0
139,6.0,6.0,10.0,10.0,9.0,9.0,7.0,4.0,7.0,10.0,0.0,5.2727272727272725,4.7272727272727275,5.0,5.0,7.2727272727272725,5.0,5.0,10.0,8.0
140,8.0,10.0,10.0,10.0,10.0,6.0,8.0,9.0,8.0,9.0,2.0,2.0,3.0,9.0,9.0,9.0,9.0,10.0,9.0,10.0
141,9.0,10.0,10.0,10.0,10.0,6.0,10.0,10.0,9.0,8.0,1.0,7.0,9.0,9.0,9.0,7.0,8.0,9.0,7.0,6.0
142,4.0,3.0,1.0,10.0,10.0,9.0,2.0,4.0,0.0,10.0,10.0,5.0,6.0,10.0,10.0,0.0,9.0,7.0,2.0,10.0
143,7.0,6.0,10.0,9.0,7.0,7.0,10.0,9.0,8.0,7.0,10.0,6.090909090909091,5.090909090909091,4.0,4.0,6.909090909090909,5.0,5.0,9.0,9.0
144,7.0,7.0,10.0,10.0,10.0,8.0,9.0,8.0,7.0,5.0,0.0,8.0,1.0,10.0,10.0,9.0,10.0,9.0,7.0,8.0
145,8.0,9.0,10.0,8.0,6.0,4.0,10.0,10.0,10.0,10.0,10.0,5.0,4.454545454545454,10.0,10.0,9.545454545454545,10.0,8.0,8.0,8.0
146,5.0,8.0,9.0,10.0,10.0,10.0,7.0,8.0,0.0,7.0,0.0,10.0,7.0,8.0,8.0,9.0,8.0,8.0,6.363636363636363,10.0
147,3.0,5.0,5.0,1.0,1.0,9.0,6.0,7.0,0.0,9.0,10.0,9.0,4.0,8.0,7.0,7.545454545454546,8.0,8.0,4.0,10.0
148,7.0,9.0,8.0,8.0,7.0,7.0,8.0,10.0,6.0,9.0,10.0,6.0,4.636363636363637,7.0,8.0,7.545454545454546,6.0,8.0,8.0,7.0
149,7.0,9.0,8.0,10.0,9.0,8.0,9.0,10.0,6.0,9.0,10.0,8.0,3.0,8.0,9.0,0.0,8.0,9.0,6.0,10.0
150,3.0,4.0,1.0,10.0,7.0,9.0,7.0,5.0,0.0,10.0,10.0,6.0,5.545454545454546,7.0,7.0,5.181818181818182,7.0,8.0,5.181818181818182,10.0
151,5.0,7.0,9.0,10.0,9.0,10.0,6.0,8.0,0.0,8.0,10.0,9.0,5.0,9.0,9.0,8.0,9.0,9.0,7.0,10.0
152,8.0,8.0,8.0,10.0,9.0,7.0,7.0,7.0,8.0,7.0,10.0,8.0,5.0,9.0,9.0,7.0,8.0,8.0,4.0,3.0
153,9.0,8.0,10.0,8.0,7.0,3.0,10.0,10.0,9.0,8.0,10.0,8.0,3.0,10.0,10.0,10.0,10.0,10.0,7.0,9.0
154,9.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,9.0,9.0,0.0,4.0,3.0,9.0,9.0,10.0,9.0,9.0,8.0,9.0
155,8.0,8.0,10.0,7.0,5.0,5.0,10.0,10.0,9.0,9.0,10.0,5.0,4.181818181818182,10.0,10.0,9.0,10.0,10.0,10.0,7.0
156,3.0,1.0,1.0,10.0,10.0,9.0,4.0,6.0,0.0,10.0,10.0,5.454545454545454,5.7272727272727275,7.0,8.0,5.7272727272727275,7.0,8.0,4.2727272727272725,10.0
157,8.0,5.0,10.0,9.0,6.0,6.0,9.0,10.0,9.0,4.0,0.0,5.363636363636363,6.0,10.0,10.0,10.0,7.0,8.0,3.0,10.0
158,3.0,2.0,1.0,9.0,7.0,9.0,6.0,5.0,0.0,10.0,10.0,7.0,6.090909090909091,6.0,7.0,4.636363636363637,6.0,7.0,5.0,10.0
159,6.0,3.0,1.0,10.0,10.0,9.0,3.0,2.0,5.0,10.0,10.0,4.0,6.0,10.0,10.0,9.0,9.0,9.0,4.0,10.0
160,7.0,9.0,10.0,8.0,6.0,7.0,9.0,9.0,8.0,6.0,0.0,0.0,5.0,10.0,10.0,8.0,9.0,9.0,7.0,6.0
161,5.0,5.0,6.0,0.0,0.0,8.0,5.0,8.0,5.0,6.0,2.0,7.0,3.0,6.0,6.0,7.0,6.0,6.0,6.0,5.0
162,7.0,8.0,8.0,10.0,10.0,10.0,8.0,9.0,6.0,6.0,10.0,8.0,6.0,4.0,5.0,8.0,6.0,6.0,6.7272727272727275,10.0
163,7.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,6.0,4.0,0.0,6.090909090909091,3.0,6.0,6.0,3.0,6.0,6.0,6.0,10.0
164,8.0,7.0,10.0,10.0,10.0,9.0,9.0,9.0,8.0,8.0,10.0,4.454545454545454,6.0,5.0,6.0,8.0,6.0,6.0,8.0,6.0
165,7.0,10.0,10.0,10.0,9.0,8.0,9.0,10.0,5.0,9.0,10.0,0.0,5.0,5.0,5.0,7.0,5.0,5.0,5.0,10.0
166,7.0,8.0,9.0,10.0,10.0,9.0,8.0,7.0,7.0,4.0,0.0,7.0,3.0,9.0,9.0,10.0,8.0,8.0,8.0,7.0
167,6.0,7.0,8.0,10.0,9.0,9.0,6.0,7.0,5.0,9.0,10.0,5.0,4.2727272727272725,10.0,10.0,7.545454545454546,8.0,8.0,2.0,10.0
168,7.0,6.0,7.0,10.0,10.0,9.0,7.0,8.0,5.0,9.0,10.0,6.0,5.0,9.0,9.0,9.0,8.0,8.0,9.0,6.0
169,6.0,7.0,8.0,9.0,7.0,9.0,9.0,5.0,5.0,9.0,10.0,5.2727272727272725,3.4545454545454546,8.0,8.0,6.363636363636363,7.0,7.0,10.0,10.0
170,4.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,0.0,6.363636363636363,6.636363636363637,5.7272727272727275,4.0,9.0,8.0,5.0,9.0,9.0,6.545454545454546,10.0
171,9.0,8.0,10.0,8.0,6.0,1.0,10.0,10.0,10.0,9.0,1.0,6.0,3.0,10.0,10.0,10.0,10.0,10.0,8.0,7.0
